"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.05637,-34.95508,-94.7514285714286,-97.7914285714286,-94.1414285714286,-98.32,-91.8025,-90.8414285714286,-81.495,-68.544,-93.0075,6,5,1,6826
-8.05075,-34.95973,-90.8114285714286,-95.1142857142857,-92.2,-99.26,-93.9625,-91.3328571428572,-89.1316666666667,-102.204,-88.08,5,7,2,8614
-8.05575,-34.95883,-88.7314285714286,-99.5742857142857,-85.6771428571429,-94.765,-100.225,-84.6542857142857,-87.24,-85.38,-65.66,7,7,0,6961
-8.05205,-34.95979,-86.2528571428571,-97.33,-88.1785714285714,-98.85,-98.2575,-86.72,-87.45,-98.544,-76.66,5,7,2,8097
-8.05485,-34.94977,-89.2288571428572,-91.8435714285714,-90.7325,-88.47,-84.6395833333333,-82.65,-83.32,-87.994,-96.3725,6,3,4,7413
-8.05268,-34.95338,-103.99,-98.9328571428571,-86.8542857142857,-100.695,-100.9,-97.0857142857143,-103.21,-98.6,-95.605,4,4,2,7871
-8.05112,-34.95307,-87.78,-95.0771428571428,-84.93,-84.84,-87.0575,-89.03,-90.12,-94.758,-95.1975,4,4,3,8537
-8.05224,-34.94734,-92.22,-84.78,-89.4571428571429,-57.84,-76.6275,-77.1028571428571,-89.54,-95.512,-97.6,5,1,5,7982
-8.05151,-34.95031,-91.91,-94.2557142857143,-96.77,-80.94,-90.8575,-88.17,-98.13,-95.054,-97.2725,4,3,4,8400
-8.05009,-34.95312,-87.89,-95.2228571428571,-80.25,-95.15,-92.1258333333333,-89.6154761904762,-92.3416666666667,-97.358,-96.1825,3,4,3,8791
-8.04784,-34.9476,-97.4,-80.6828571428571,-93.6542857142857,-85.76,-97.685,-98.85,-106.07,-102.064,-94.4075,3,3,6,9402
-8.05162,-34.94978,-91.5657142857143,-92.5071428571429,-90.15,-69.64,-90.53,-85.34,-92.1783333333333,-95.754,-97.2725,4,2,4,8355
-8.04855,-34.9529,-70.94,-80.44,-78.19,-82.44,-87.3625,-87.4014285714286,-88.76,-99.226,-96.7675,2,4,4,9177
-8.05316,-34.95974,-89.4242857142857,-98.2457142857143,-86.88,-100.931666666667,-98.2575,-90.9114285714286,-80.58,-93.052,-63.08,6,7,1,7781
-8.05446,-34.9561,-92.8761904761905,-98.7371428571429,-82.26,-103.59,-100.43,-95.78,-81.195,-81.3505714285714,-86.71,6,5,1,7493
-8.05562,-34.95395,-95.08,-96.1742857142857,-91.8085714285714,-97.99,-96.4125,-94.8442857142857,-79.065,-72.242,-93.595,6,5,2,7029
